account_age,age,avg_hours,days_visited,friends_count,has_membership,is_US,songs_purchased,income,price,demand
3,53,1.8342344712102672,2,8,1,1,4.90323668161881,0.9608626069235218,1.0,3.917117235605133
5,54,7.17141145327076,7,9,0,1,3.330161150202256,0.7324865629680953,1.0,11.585705726635378
3,33,5.351919560462158,6,9,0,1,3.0362029952698233,1.1309367414298725,1.0,24.67595978023108
2,34,6.723551327429826,0,8,0,1,7.9119263425404185,0.929196678649462,1.0,6.361775663714912
4,30,2.448246871359665,5,8,1,0,7.148967345863836,0.5335274951426048,0.8,12.62412343567983
3,19,4.049904345020224,1,8,0,1,2.628700563668971,3.274805435827702,1.0,19.024952172510112
4,20,8.463999050225251,4,10,1,0,1.0607534479361673,0.9010194120704326,0.8,10.631999525112626
2,19,5.548038866210005,6,9,1,1,5.289344361051114,0.6469481139992777,0.8,14.174019433105002
2,33,3.753347477991146,2,8,0,1,2.4703656697815264,1.4944347452770834,1.0,18.876673738995574
1,25,8.08735688897967,3,13,1,1,0.4837456060867371,0.4258840083373617,0.8,10.443678444489834
2,30,5.690872847903955,2,10,1,1,7.182753615290239,0.8171563201486115,0.8,9.245436423951976
2,22,0.09444353333622146,3,11,0,1,5.688907924164704,0.2829857359677279,0.8,6.4472217666681075
1,23,5.787771355362257,1,11,1,1,6.953860736589613,1.1160278869863913,1.0,19.89388567768113
1,33,4.303431348847193,7,7,1,1,2.6107558556549524,0.4932518716728784,0.9,11.851715674423595
2,50,7.226203043024198,4,8,0,1,0.0,0.9912189849236176,0.8,10.013101521512098
4,24,7.280617063528316,0,11,0,1,5.876313319398477,2.8533818865904568,1.0,20.64030853176416
5,58,7.534407742296844,4,9,0,0,5.055372648112632,1.3299119257029537,1.0,20.76720387114842
1,29,7.1879221609213175,4,12,1,1,2.5657484673235116,1.2336713578129614,1.0,20.59396108046066
1,19,6.43364744293774,0,6,0,1,5.217698693278555,0.6656246312222596,1.0,6.21682372146887
5,36,6.455948431148248,4,12,1,1,9.07338966011245,0.8308341917493844,0.8,9.627974215574124
2,58,3.3503104545183127,7,9,0,0,0.9930751075283606,1.109131100860025,0.9,23.975155227259158
4,56,5.816355808749291,3,10,1,1,4.070926703116931,1.7590419266244741,1.0,19.908177904374647
3,30,3.8221871960569818,2,9,1,1,3.096591738109925,1.0840505102511528,1.0,18.91109359802849
5,55,9.972458119259741,4,11,0,1,5.966696213662519,0.6805144351311324,0.9,9.68622905962987
3,57,4.203120494756185,2,13,0,1,11.760445698819876,0.6429727978708134,0.8,8.501560247378091
5,46,2.4532505653998227,1,13,0,1,4.483641357818663,1.7591512711052681,0.8,18.826625282699908
1,23,1.181716689009133,5,14,0,0,5.445473181522601,1.452392616264425,1.0,22.590858344504568
1,39,2.740087777743334,4,10,1,1,5.083067533622235,1.2639925908879026,1.0,18.370043888871667
2,39,3.057999230434892,5,11,0,1,4.324850879116793,0.7962662480570197,0.8,12.928999615217446
4,19,4.26412406336287,4,10,0,1,4.908152979811256,0.9463506440461729,1.0,5.132062031681436
5,40,4.164508702424046,5,8,1,1,1.2283812700742764,0.7275000212311096,0.9,11.782254351212021
5,23,4.149124132259728,2,9,1,1,5.367731042429308,0.8791301309394797,1.0,5.0745620661298645
5,38,5.767829186553538,5,9,0,0,9.584789511787722,1.2333646303570085,1.0,24.88391459327677
2,41,4.5280564273536354,6,6,1,1,5.136700664199467,1.5866076884196465,1.0,24.264028213676816
4,42,4.941449372366261,0,15,0,1,3.746478191062241,0.848865139841778,0.8,8.87072468618313
3,25,7.299218296023008,5,6,0,0,6.6285694009333165,0.8885856550862476,0.8,15.049609148011502
2,30,3.7692089763972008,1,15,1,1,6.303472141641926,1.0149653752519563,1.0,18.8846044881986
5,20,4.639560706313387,4,10,1,1,0.5447375335165594,1.6466589536988834,1.0,19.319780353156695
1,18,3.690294639970296,4,9,0,0,5.980604389860468,0.8488777439495614,0.9,6.545147319985148
4,54,7.638763207200994,7,10,0,1,4.983452413445539,0.82157689533589,0.8,15.219381603600496
3,50,5.666812933423534,6,12,1,1,3.587258350290764,0.9454230727912499,0.8,14.233406466711767
1,38,5.652976468276093,5,9,1,0,1.0450561329838353,1.691191353811836,1.0,24.826488234138047
4,30,2.685359119878722,2,12,1,1,5.154966267610197,0.5420834668962856,1.0,4.342679559939363
3,57,5.645346026769592,1,10,0,0,3.283089904831467,1.9204529056973976,1.0,19.822673013384797
3,35,7.185180072448752,1,8,1,1,4.998742160558752,1.3765985700633172,1.0,20.592590036224376
3,57,3.0223924541515155,6,10,1,1,6.2776223302970635,0.6504188976654837,0.8,12.911196227075756
3,59,3.87924819515559,4,12,1,1,4.958805757775474,0.6221646617354055,0.9,6.639624097577794
5,21,2.866893112856781,5,8,1,1,10.779881445354984,1.6498387247701405,0.9,23.73344655642839
4,49,2.464939810910546,7,14,0,1,6.924055443900826,1.1265014884843687,1.0,23.23246990545527
4,34,4.06700794854626,1,9,1,1,0.0,0.6130683117484023,0.9,6.73350397427313
5,57,6.277890435365274,2,13,1,1,3.415998445107097,1.2634768545099953,1.0,20.138945217682636
5,39,4.1018005592527595,4,10,1,0,0.8388346859299372,0.6099711190208765,0.8,8.450900279626378
4,22,9.220001353525348,1,8,0,1,8.015674222279848,0.45433139818769364,0.9,9.310000676762673
3,47,3.920351626516,4,11,1,1,1.8998485114462902,0.2860654686266733,0.9,6.660175813258
1,23,5.599742103972437,6,10,0,1,10.929884896306264,0.5274611729442803,0.8,14.199871051986218
5,20,4.314382782923488,1,12,0,1,4.012821785445458,1.207654910773681,1.0,19.157191391461744
4,31,4.0827065733028505,0,12,0,1,1.7016936708401227,1.4006135437938372,1.0,19.041353286651425
2,45,1.8112167426888957,6,10,0,1,6.258399743037154,0.9422307491829018,1.0,8.90560837134445
4,22,5.001594773291247,0,8,1,1,6.910487996090252,0.9204684656026276,0.8,8.900797386645621
3,51,6.529406340841434,6,9,0,1,5.601526338171987,0.5967473389234575,0.9,12.964703170420716
2,49,6.23891341540454,1,9,1,1,5.730174863064598,1.6687286954824576,1.0,20.11945670770227
3,47,5.613534527591363,7,10,1,1,5.200571100455467,0.6086675939239624,0.9,12.50676726379568
5,33,6.99319435949118,6,12,0,1,5.078740555601156,0.9540116980051823,0.8,14.896597179745587
1,22,4.612659838916542,6,9,0,0,3.8331381551231587,1.3785174596237044,1.0,24.30632991945827
2,22,5.826977141376982,5,11,1,1,4.982761308763696,1.11425034215691,1.0,24.913488570688493
5,46,4.0108486660631115,3,10,1,0,9.924009561769871,1.0228830100396078,0.9,19.305424333031556
3,18,5.894588372866394,5,9,1,0,8.671982704019552,0.9317976074634068,1.0,10.947294186433197
2,18,6.3673299298877,2,9,1,1,6.081293551868095,0.5422323895063235,0.8,9.58366496494385
2,24,5.695730415621767,5,9,1,1,3.936323946402898,1.1057356705388575,1.0,24.847865207810884
4,26,7.702760287393627,3,10,1,1,7.904126238046858,3.10871212332961,1.0,20.851380143696815
5,56,8.310480733559954,0,10,1,0,5.494463730833485,0.4332717116148399,0.8,10.555240366779977
2,57,2.890575622118174,0,13,1,1,6.87795368080867,1.2698209505322202,0.9,18.74528781105909
1,20,6.791288696532887,1,12,0,1,3.699852285029074,0.605373899642913,0.8,9.795644348266443
1,39,3.7077190887545566,2,10,0,0,7.69227308537188,1.3561196136089606,0.9,19.15385954437728
4,57,4.093027761401782,6,7,1,1,7.229968846109013,0.9314822764432594,0.8,13.446513880700891
2,29,2.269071365133697,5,12,1,1,2.006897061856925,1.47119930745039,0.8,23.73453568256685
4,23,5.163671345604312,2,12,1,1,6.715500536703555,1.5356641938257078,0.9,19.881835672802158
4,51,2.3014714354575303,6,10,1,1,3.113409910799982,1.1507017169648883,1.0,23.150735717728764
4,24,8.258861999956725,3,11,1,1,5.21411794179765,0.7674499729107009,0.8,10.52943099997836
2,55,6.253057467578908,6,5,1,1,5.849964589081261,0.8950167858728728,1.0,11.126528733789453
2,59,5.907529014847205,5,9,0,0,5.12733713164393,0.4463597948779161,0.8,14.353764507423602
3,25,3.8180743569246305,0,13,1,1,7.539151027179116,1.2473257099964032,0.9,19.209037178462317
4,39,8.23975532805089,3,8,1,1,6.167153557101985,0.9388303993112258,0.9,8.819877664025444
4,53,3.027280033275206,4,12,1,0,5.204342924568441,2.0329608862474244,1.0,18.513640016637602
4,29,3.8959868308958576,3,11,1,1,4.061686541073564,1.6806877763131556,0.8,19.547993415447927
4,59,3.288504921730172,4,7,0,1,1.7587164364505208,0.6280753321448661,0.8,8.044252460865085
1,35,4.086485268052757,5,10,1,1,6.148971815442807,1.0248554363037898,0.8,24.64324263402638
2,44,3.186028004152765,3,10,1,1,7.134158780746938,0.2777193391166757,1.0,4.593014002076384
4,50,4.470559270360825,6,10,1,1,1.5931769073570483,0.6554444879755406,1.0,10.235279635180412
2,40,4.526725752825403,3,10,0,1,2.751470083570663,0.7529189466347112,0.8,8.663362876412698
5,42,6.554808380522962,0,11,0,1,0.15581115203090246,1.0538005252571294,1.0,20.277404190261482
4,47,8.000635699120638,1,8,1,1,3.3229759860539834,1.3854901648823137,0.9,21.30031784956032
2,19,4.707463002314315,3,12,1,0,9.682381727796617,0.9126459407966199,0.8,8.753731501157155
3,42,8.238984224476173,5,10,1,1,1.931233551761391,0.5104167652957597,0.8,15.519492112238083
4,24,6.535299333033761,6,13,1,1,6.314224332518809,1.462384249867274,1.0,25.26764966651688
5,37,5.792767815870904,6,12,1,0,7.379676956330906,1.8051726794745775,1.0,24.89638390793545
4,52,6.895442130963334,4,11,0,1,0.7185343550788375,1.4347356925981694,0.9,20.747721065481667
2,40,8.288335732067209,1,12,0,1,4.633237458943585,1.8790011344422624,1.0,21.144167866033605
1,37,3.4046537257845455,3,11,0,1,1.7358699627919139,0.8403482092308467,0.8,8.102326862892273
1,21,7.702599600400217,2,9,1,1,4.574918982973193,1.976792902196909,1.0,20.85129980020011
4,43,6.313274346472248,3,10,1,1,2.1620888680352026,0.7416879035241919,1.0,6.156637173236124
